id_Mat,name
CSO-11057,ACTIVISM. POL Y CIUDADAN GLOBA
CSO-12013,HISTORIA POLITICA CONTEMPORAN.
CSO-12041,"HISTORIA DE MEXICO, I"
CSO-12042,"HISTORIA DE MEXICO,II"
CSO-12049,HISTORIA DE MEXICO III
CSO-13041,POL. MEXICANA CONTEMPORANEA
CSO-14021,"POLITICA COMPARADA,I"
CSO-14041,"POLITICA COMPARADA,II"
CSO-14042,POLITICA COMPARADA III
CSO-14045,POLITICA Y GOBIERNO DE MEXICO
CSO-14051,OPINION PUBLICA
CSO-14070,COMUNICAC. POLITICA Y MEDIOS
CSO-14087,VIOLENCIA Y PODER: LIT. Y CINE
CSO-15021,"ELECCION PUBLICA,I"
CSO-15022,"ELECCION PUBLICA,II"
CSO-15024,ELECCION PUBLICA III
CSO-15041,"ECONOMIA POLITICA, I"
CSO-15043,ECONOMIA POLITICA II
CSO-16042,"POLITICAS PUBLICAS, I"
CSO-17041,METODOS DE INVEST. APLICADA
CSO-17042,METODOL. POL. AVANZADA
CSO-17051,INVESTIG CUANTITATIVA APLICADA
CSO-18045,SISTS. DE INTELIGENCIA ESTRATE
CSO-19077,SEMIN. DE TITULACION POR CASO
CSO-19081,SEMINARIO DE INV. POLITICA  A
CSO-19082,SEMINARIO DE INV. POLITICA B
CSO-19088,SEMINARIO DE INV. POLITICA H
CSO-19089,SEMINARIO DE INV. POLÍTICA J
DER-10003,"INST. DE DERECHO PUB. MEX.,I"
DER-10005,"DER. INTERNACIONAL PUBLICO,I"
DER-10006,"DER. INTERNACIONAL PUBLICO,II"
DER-10008,REGIMEN LABORAL MEXICANO
DER-10010,REGIMEN FISCAL MEXICANO (ADM)
DER-10011,REGIMEN FISCAL MEXICANO (CP)
DER-10013,FUNDAMENTOS JURIDICOS
DER-10015,DERECHO EMPRESARIAL
DER-10016,INTROD. AL DERECHO CORPORATIVO
DER-10017,CONTRATOS FINANC. COMPARADOS
DER-10018,DERECHO EMPRESARIAL I
DER-10019,DERECHO EMPRESARIAL II
DER-10021,DERECHO EMPRESARIAL III
DER-10026,DERECHO CORPORATIVO
DER-10113,DERECHO PUBLICO
DER-11025,COMMON LAW SYSTEM: SOURCES
DER-11101,"TEORIA DEL DERECHO, I"
DER-11202,TEORIA DEL DERECHO II
DER-11203,INVESTIG. Y REDACCION JURIDICA
DER-11304,ARGUMENTAC. ORAL Y ESCRITA
DER-11805,FILOSOFIA DEL DERECHO
DER-11907,TECNICAS DE ARGUM. JURID.
DER-12102,INSTITUCS. DE DERECHO ROMANO
DER-12202,HISTORIA DEL DERECHO MEXICANO
DER-13203,NEGOCIO JURIDICO Y PERSONAS
DER-13302,BIENES Y DERECHOS REALES
DER-13403,OBLIGACIONES
DER-13406,TEORIA GENERAL DEL PROCESO
DER-13504,CONTRATOS
DER-13607,PROCE. CIVILES Y MERCANTILES
DER-13614,FAMILIA Y SUCESIONES
DER-14007,SEMIN. TEOR. Y DOGMATICA PENAL
DER-14402,TEORIAS DEL DELITO
DER-14505,DELITOS
DER-14603,DERECHO PROCESAL PENAL
DER-15040,CLIN.CONTRA TRATA DE PERSONAS
DER-15402,"DERECHO CONSTITUCIONAL,I"
DER-15505,"DERECHO CONSTITUCIONAL, II"
DER-15506,"DERECHO CONSTITUCIONAL, III"
DER-15704,PROCEDIM. CONSTITUCIONALES
DER-16019,DERECHO DEL SIST. FINANCIERO
DER-16041,CLINICA DE FUSIONES Y ADQUISIC
DER-16501,"DERECHO MERCANTIL, I"
DER-16602,"DERECHO MERCANTIL, II"
DER-16702,DERECHO MERCANTIL III
DER-17044,CLINICA EN DERECHO Y POL PUBL.
DER-17045,CLIN. DES. SUSTENT. Y DER AMBI
DER-17601,DERECHO ADMINISTRATIVO I
DER-17702,DERECHO ADMINISTRATIVO II
DER-17703,DERECHO FISCAL I
DER-17804,DERECHO FISCAL II
DER-18028,REGIONAL TRADE AGREEMENTS
DER-18030,LAW AND GLOBAL GOVERNANCE
DER-18701,DERECHO INTERNACIONAL PUBLICO
DER-19501,DERECHO LABORAL I
DER-19602,DERECHO LABORAL II
ECO-10202,SEM. DE INVEST. ECONOMICA II
ECO-10204,SEMINARIO DE INV. ECONOMICA
ECO-10301,HISTORIA DEL ANALISIS ECO.
ECO-10516,MICROECONOMETRIA APLICADA
ECO-10517,MACROECONOMETRIA APLICADA
ECO-11101,"ECONOMIA, I"
ECO-11103,"ECONOMIA, III"
ECO-11104,"ECONOMIA, IV"
ECO-11107,"ECONOMIA, VII"
ECO-11121,MICROECONOMIA AVANZADA I
ECO-11122,MICROECONOMIA AVANZADA II
ECO-11221,ECONOMIA DE LA INCERTIDUMBRE
ECO-12102,"ECONOMIA, II"
ECO-12105,"ECONOMIA, V"
ECO-12121,MACROECONOMIA AVANZADA
ECO-12133,MACROECONOMIA INTERMEDIA
ECO-12201,TEORIA Y POLITICA MONETARIA
ECO-13101,"ECONOMIA INTERNACIONAL, I"
ECO-13102,"ECONOMIA INTERNACIONAL, II"
ECO-14207,ANAL. ECONOMICO DEL DERECHO I
ECO-14208,ANAL. ECON. DEL DER. II
ECO-14301,ORGANIZACION INDUSTRIAL
ECO-14303,ECONOMIA DE LA REGULACION
ECO-14501,ECONOMIA DE LA EMPRESA
ECO-15101,FINANZAS PUBLICAS
